#   x       y(x)            y(x)^2       classical p(x)      V
 -5.863  2.06456961e-08  4.26244769e-16  0.00000000e+00   17.187385
 -5.862  2.08264187e-08  4.33739714e-16  0.00000000e+00   17.181522
 -5.861  2.10078360e-08  4.41329173e-16  0.00000000e+00   17.175660
 -5.860  2.11899540e-08  4.49014150e-16  0.00000000e+00   17.169800
 -5.859  2.13727784e-08  4.56795659e-16  0.00000000e+00   17.163940
 -5.858  2.15563152e-08  4.64674726e-16  0.00000000e+00   17.158082
 -5.857  2.17405702e-08  4.72652391e-16  0.00000000e+00   17.152225
 -5.856  2.19255492e-08  4.80729706e-16  0.00000000e+00   17.146368
 -5.855  2.21112581e-08  4.88907736e-16  0.00000000e+00   17.140513
 -5.854  2.22977030e-08  4.97187558e-16  0.00000000e+00   17.134658
 -5.853  2.24848897e-08  5.05570263e-16  0.00000000e+00   17.128804
 -5.852  2.26728241e-08  5.14056954e-16  0.00000000e+00   17.122952
 -5.851  2.28615124e-08  5.22648749e-16  0.00000000e+00   17.117100
 -5.850  2.30509604e-08  5.31346777e-16  0.00000000e+00   17.111250
 -5.849  2.32411743e-08  5.40152182e-16  0.00000000e+00   17.105401
 -5.848  2.34321600e-08  5.49066123e-16  0.00000000e+00   17.099552
 -5.847  2.36239237e-08  5.58089769e-16  0.00000000e+00   17.093705
 -5.846  2.38164713e-08  5.67224306e-16  0.00000000e+00   17.087858
 -5.845  2.40098091e-08  5.76470933e-16  0.00000000e+00   17.082012
 -5.844  2.42039432e-08  5.85830865e-16  0.00000000e+00   17.076168
 -5.843  2.43988796e-08  5.95305328e-16  0.00000000e+00   17.070324
 -5.842  2.45946247e-08  6.04895565e-16  0.00000000e+00   17.064482
 -5.841  2.47911846e-08  6.14602833e-16  0.00000000e+00   17.058641
 -5.840  2.49885655e-08  6.24428404e-16  0.00000000e+00   17.052800
 -5.839  2.51867736e-08  6.34373565e-16  0.00000000e+00   17.046961
 -5.838  2.53858153e-08  6.44439619e-16  0.00000000e+00   17.041122
 -5.837  2.55856968e-08  6.54627881e-16  0.00000000e+00   17.035284
 -5.836  2.57864244e-08  6.64939686e-16  0.00000000e+00   17.029448
 -5.835  2.59880046e-08  6.75376381e-16  0.00000000e+00   17.023612
 -5.834  2.61904435e-08  6.85939331e-16  0.00000000e+00   17.017778
 -5.833  2.63937477e-08  6.96629916e-16  0.00000000e+00   17.011945
 -5.832  2.65979235e-08  7.07449532e-16  0.00000000e+00   17.006112
 -5.831  2.68029773e-08  7.18399592e-16  0.00000000e+00   17.000281
 -5.830  2.70089157e-08  7.29481526e-16  0.00000000e+00   16.994450
 -5.829  2.72157450e-08  7.40696777e-16  0.00000000e+00   16.988620
 -5.828  2.74234719e-08  7.52046810e-16  0.00000000e+00   16.982792
 -5.827  2.76321028e-08  7.63533104e-16  0.00000000e+00   16.976965
 -5.826  2.78416443e-08  7.75157156e-16  0.00000000e+00   16.971138
 -5.825  2.80521029e-08  7.86920478e-16  0.00000000e+00   16.965312
 -5.824  2.82634853e-08  7.98824604e-16  0.00000000e+00   16.959488
 -5.823  2.84757982e-08  8.10871082e-16  0.00000000e+00   16.953665
 -5.822  2.86890481e-08  8.23061480e-16  0.00000000e+00   16.947842
 -5.821  2.89032417e-08  8.35397383e-16  0.00000000e+00   16.942020
 -5.820  2.91183858e-08  8.47880394e-16  0.00000000e+00   16.936200
 -5.819  2.93344871e-08  8.60512135e-16  0.00000000e+00   16.930380
 -5.818  2.95515524e-08  8.73294249e-16  0.00000000e+00   16.924562
 -5.817  2.97695884e-08  8.86228393e-16  0.00000000e+00   16.918745
 -5.816  2.99886019e-08  8.99316247e-16  0.00000000e+00   16.912928
 -5.815  3.02085999e-08  9.12559509e-16  0.00000000e+00   16.907113
 -5.814  3.04295892e-08  9.25959896e-16  0.00000000e+00   16.901298
 -5.813  3.06515766e-08  9.39519146e-16  0.00000000e+00   16.895484
 -5.812  3.08745691e-08  9.53239015e-16  0.00000000e+00   16.889672
 -5.811  3.10985736e-08  9.67121282e-16  0.00000000e+00   16.883861
 -5.810  3.13235972e-08  9.81167743e-16  0.00000000e+00   16.878050
 -5.809  3.15496468e-08  9.95380216e-16  0.00000000e+00   16.872241
 -5.808  3.17767296e-08  1.00976054e-15  0.00000000e+00   16.866432
 -5.807  3.20048524e-08  1.02431058e-15  0.00000000e+00   16.860625
 -5.806  3.22340225e-08  1.03903221e-15  0.00000000e+00   16.854818
 -5.805  3.24642470e-08  1.05392733e-15  0.00000000e+00   16.849012
 -5.804  3.26955330e-08  1.06899788e-15  0.00000000e+00   16.843208
 -5.803  3.29278876e-08  1.08424578e-15  0.00000000e+00   16.837404
 -5.802  3.31613182e-08  1.09967303e-15  0.00000000e+00   16.831602
 -5.801  3.33958320e-08  1.11528159e-15  0.00000000e+00   16.825800
 -5.800  3.36314362e-08  1.13107350e-15  0.00000000e+00   16.820000
 -5.799  3.38681381e-08  1.14705078e-15  0.00000000e+00   16.814201
 -5.798  3.41059451e-08  1.16321549e-15  0.00000000e+00   16.808402
 -5.797  3.43448645e-08  1.17956972e-15  0.00000000e+00   16.802604
 -5.796  3.45849037e-08  1.19611557e-15  0.00000000e+00   16.796808
 -5.795  3.48260702e-08  1.21285517e-15  0.00000000e+00   16.791013
 -5.794  3.50683714e-08  1.22979067e-15  0.00000000e+00   16.785218
 -5.793  3.53118148e-08  1.24692426e-15  0.00000000e+00   16.779425
 -5.792  3.55564079e-08  1.26425814e-15  0.00000000e+00   16.773632
